date;time;tempmeas;refcool;refheat;ctrlenabled;forcefan;
27/08/2013;20:31:18;73,8;73,9;63,0;2;0;
27/08/2013;20:32:15;73,8;73,9;63,0;2;0;
27/08/2013;20:33:15;73,9;73,9;63,0;2;0;
27/08/2013;20:34:15;73,9;73,9;63,0;2;0;
27/08/2013;20:35:15;74,0;73,9;63,0;2;0;
27/08/2013;20:36:15;74,0;73,9;63,0;2;0;
27/08/2013;20:37:15;74,0;73,9;63,0;2;0;
27/08/2013;20:38:15;74,0;73,9;63,0;2;0;
27/08/2013;20:39:15;74,1;73,9;63,0;2;0;
27/08/2013;20:40:15;74,1;73,9;63,0;2;0;
27/08/2013;20:41:15;74,1;73,9;63,0;2;0;
27/08/2013;20:42:15;74,2;73,9;63,0;2;0;
27/08/2013;20:43:15;74,2;73,9;63,0;2;0;
27/08/2013;20:44:15;74,2;73,9;63,0;2;0;
27/08/2013;20:45:18;74,2;73,9;63,0;2;0;
27/08/2013;20:46:15;74,3;73,9;63,0;2;0;
27/08/2013;20:47:15;74,3;73,9;63,0;3;0;
27/08/2013;20:48:15;74,3;73,9;63,0;3;0;
27/08/2013;20:49:15;74,2;73,9;63,0;3;0;
27/08/2013;20:50:15;74,1;73,9;63,0;3;0;
27/08/2013;20:51:15;74,1;73,9;63,0;3;0;
27/08/2013;20:52:15;74,1;73,9;63,0;3;0;
27/08/2013;20:53:15;74,0;73,9;63,0;3;0;
27/08/2013;20:54:15;74,0;73,9;63,0;3;0;
27/08/2013;20:55:15;73,8;73,9;63,0;3;0;
27/08/2013;20:56:15;73,8;73,9;63,0;3;0;
27/08/2013;20:57:15;73,8;73,9;63,0;3;0;
27/08/2013;20:58:15;73,8;73,9;63,0;3;0;
27/08/2013;20:59:15;73,7;73,9;63,0;3;0;
28/08/2013;20:55:50;73,4;73,9;63,0;2;0;
28/08/2013;20:55:55;73,4;73,9;63,0;2;0;
28/08/2013;20:56:52;73,4;73,9;63,0;2;0;
28/08/2013;20:57:52;73,4;73,9;63,0;2;0;
28/08/2013;20:58:53;73,4;73,9;63,0;2;0;
28/08/2013;20:59:53;73,4;73,9;63,0;2;0;
28/08/2013;21:00:53;73,4;73,9;63,0;2;0;
28/08/2013;21:01:53;73,4;73,9;63,0;2;0;
28/08/2013;21:02:53;73,4;73,9;63,0;2;0;
28/08/2013;21:03:53;73,4;73,9;63,0;2;0;
28/08/2013;21:04:52;73,4;73,9;63,0;2;0;
28/08/2013;21:05:53;73,4;73,9;63,0;2;0;
28/08/2013;21:06:53;73,4;73,9;63,0;2;0;
28/08/2013;21:07:53;73,4;73,9;63,0;2;0;
28/08/2013;21:08:53;73,4;73,9;63,0;2;0;
28/08/2013;21:09:53;73,9;73,9;63,0;2;0;
28/08/2013;21:10:53;73,5;73,9;63,0;2;0;
28/08/2013;21:11:53;73,5;73,9;63,0;2;0;
28/08/2013;21:12:53;73,5;73,9;63,0;2;0;
28/08/2013;21:13:53;73,5;73,9;63,0;2;0;
28/08/2013;21:14:53;73,5;73,9;63,0;2;0;
28/08/2013;21:15:53;73,5;73,9;63,0;2;0;
28/08/2013;21:16:53;73,6;73,9;63,0;2;0;
28/08/2013;21:17:53;73,6;73,9;63,0;2;0;
28/08/2013;21:18:53;73,6;73,9;63,0;2;0;
28/08/2013;21:19:53;73,6;73,9;63,0;2;0;
28/08/2013;21:25:41;73,7;73,9;63,0;2;0;
28/08/2013;21:26:41;73,7;73,9;63,0;2;0;
28/08/2013;21:27:41;73,7;73,9;63,0;2;0;
28/08/2013;21:28:41;73,7;73,9;63,0;2;0;
